rk,player,player_id,trans_team,pos,age,tm,g,gs,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,efg%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,name,16_17_salary,17_18salary
31,Brandon Bass,bassbr01,none,PF,31,LAC,52,0,577,107,186,0.575,1,3,0.333,106,183,0.579,0.578,77,88,0.875,43,86,129,21,14,11,29,45,292,Los Angeles Clippers,1551659,NA
32,Nicolas Batum,batumni01,none,SG,28,CHO,77,77,2617,393,975,0.403,135,405,0.333,258,570,0.453,0.472,243,284,0.856,46,435,481,456,86,29,194,109,1164,Charlotte Hornets,20869566,22434783
33,Jerryd Bayless,bayleje01,none,PG,28,PHI,3,1,71,11,32,0.344,2,5,0.4,9,27,0.333,0.375,9,10,0.9,3,9,12,13,0,0,9,4,33,Philadelphia 76ers,9424084,9000000
35,Kent Bazemore,bazemke01,none,SF,27,ATL,73,64,1963,295,721,0.409,92,266,0.346,203,455,0.446,0.473,119,168,0.708,45,186,231,177,91,52,125,165,801,Atlanta Hawks,15730338,16910113
37,Malik Beasley,beaslma01,none,SG,20,DEN,22,1,165,33,73,0.452,9,28,0.321,24,45,0.533,0.514,8,10,0.8,5,12,17,11,7,0,8,10,83,Denver Nuggets,1627320,1700640
38,Michael Beasley,beaslmi01,none,PF,28,MIL,56,6,935,216,406,0.532,18,43,0.419,198,363,0.545,0.554,78,105,0.743,40,153,193,53,27,27,66,92,528,Milwaukee Bucks,1403611,NA
39,Marco Belinelli,belinma01,none,SG,30,CHO,74,0,1778,264,615,0.429,102,283,0.36,162,332,0.488,0.512,150,168,0.893,14,164,178,147,44,9,70,90,780,Charlotte Hornets,6333333,NA
40,DeAndre' Bembry,bembrde01,none,SF,22,ATL,38,1,371,47,98,0.48,1,18,0.056,46,80,0.575,0.485,6,16,0.375,14,45,59,28,8,5,16,21,101,Atlanta Hawks,1499760,1567200
41,Dragan Bender,bendedr01,none,PF,19,PHO,43,0,574,57,161,0.354,28,101,0.277,29,60,0.483,0.441,4,11,0.364,23,80,103,23,10,22,32,74,146,Phoenix Suns,4276320,4468800
42,Anthony Bennett,bennean01,none,PF,23,BRK,23,1,264,38,92,0.413,13,48,0.271,25,44,0.568,0.484,26,36,0.722,25,53,78,12,5,3,12,18,115,Brooklyn Nets,1015696,NA
44,D?vis Bert?ns,bertada01,none,PF,24,SAS,67,6,808,103,234,0.44,69,173,0.399,34,61,0.557,0.588,28,34,0.824,22,76,98,46,20,28,32,75,303,San Antonio Spurs,543471,1312611
45,Patrick Beverley,beverpa01,none,SG,28,HOU,67,67,2058,228,543,0.42,110,288,0.382,118,255,0.463,0.521,73,95,0.768,95,298,393,281,99,25,100,222,639,Houston Rockets,6000000,NA
47,Nemanja Bjelica,bjeline01,none,PF,28,MIN,65,1,1190,151,356,0.424,56,177,0.316,95,179,0.531,0.503,45,61,0.738,57,187,244,79,40,20,59,154,403,Minnesota Timberwolves,3800000,3949999
48,Tarik Black,blackta01,none,C,25,LAL,67,16,1091,150,294,0.51,1,2,0.5,149,292,0.51,0.512,82,109,0.752,144,199,343,39,29,44,58,173,383,Los Angeles Lakers,6191000,NA
49,Eric Bledsoe,bledser01,none,PG,27,PHO,66,66,2176,449,1034,0.434,104,310,0.335,345,724,0.477,0.485,388,458,0.847,52,268,320,418,91,31,224,164,1390,Phoenix Suns,14000000,NA
53,Devin Booker,bookede01,none,SG,20,PHO,78,78,2730,606,1431,0.423,147,405,0.363,459,1026,0.447,0.475,367,441,0.832,46,203,249,268,72,21,241,242,1726,Phoenix Suns,2223600,2319360
54,Trevor Booker,booketr01,none,PF,29,BRK,71,43,1754,305,591,0.516,25,78,0.321,280,513,0.546,0.537,74,110,0.673,143,428,571,138,75,28,127,152,709,Brooklyn Nets,9250000,NA
55,Avery Bradley,bradlav01,none,SG,26,BOS,55,55,1835,359,775,0.463,108,277,0.39,251,498,0.504,0.533,68,93,0.731,65,269,334,122,68,11,88,141,894,Boston Celtics,8269663,NA
56,Corey Brewer,breweco01,none,SF,30,LAL,24,3,358,53,121,0.438,5,24,0.208,48,97,0.495,0.459,18,24,0.75,11,41,52,36,24,8,19,29,129,Los Angeles Lakers,7600000,6879366
57,Malcolm Brogdon,brogdma01,none,SG,24,MIL,75,28,1982,290,635,0.457,78,193,0.404,212,442,0.48,0.518,109,126,0.865,47,166,213,317,84,12,113,140,767,Milwaukee Bucks,925000,1312611
58,Aaron Brooks,brookaa01,none,PG,32,IND,65,0,894,121,300,0.403,48,128,0.375,73,172,0.424,0.483,32,40,0.8,18,51,69,125,25,9,66,93,322,Indiana Pacers,2700000,NA
60,Bobby Brown,brownbo02,none,PG,32,HOU,25,0,123,23,60,0.383,14,35,0.4,9,25,0.36,0.5,2,2,1,0,6,6,14,1,0,5,5,62,Houston Rockets,934293,1230186
61,Jaylen Brown,brownja02,none,SF,20,BOS,78,20,1341,192,423,0.454,46,135,0.341,146,288,0.507,0.508,85,124,0.685,45,175,220,64,35,18,68,142,515,Boston Celtics,4743000,4956480
62,Nicolas Brussino,brussni01,none,SG,23,DAL,54,2,521,52,141,0.369,29,95,0.305,23,46,0.5,0.472,17,22,0.773,26,69,95,47,17,8,26,43,150,Dallas Mavericks,543471,NA
63,Reggie Bullock,bullore01,none,SF,25,DET,31,5,467,54,128,0.422,28,73,0.384,26,55,0.473,0.531,5,7,0.714,13,51,64,29,18,3,10,22,141,Detroit Pistons,2255644,2500000
65,Alec Burks,burksal01,none,SG,25,UTA,42,0,653,99,248,0.399,25,76,0.329,74,172,0.43,0.45,60,78,0.769,17,103,120,30,18,5,35,50,283,Utah Jazz,10154495,10845506
66,Jimmy Butler,butleji01,none,SF,27,CHI,76,75,2809,570,1252,0.455,91,248,0.367,479,1004,0.477,0.492,585,676,0.865,129,341,470,417,143,32,159,112,1816,Chicago Bulls,17552209,NA
68,Jose Calderon,caldejo01,trans,PG,35,LAL,24,11,292,32,77,0.416,12,34,0.353,20,43,0.465,0.494,4,4,1,8,34,42,51,7,1,26,22,80,Los Angeles Lakers,7708427,NA
68,Jose Calderon,caldejo01,trans,PG,35,ATL,17,2,247,23,57,0.404,8,30,0.267,15,27,0.556,0.474,7,8,0.875,7,25,32,37,4,0,15,14,61,Atlanta Hawks,392478,NA
69,Kentavious Caldwell-Pope,caldwke01,none,SG,23,DET,76,75,2529,370,928,0.399,153,437,0.35,217,491,0.442,0.481,154,185,0.832,55,193,248,193,89,12,86,118,1047,Detroit Pistons,3678319,NA
70,Isaiah Canaan,canaais01,none,SG,25,CHI,39,0,592,63,173,0.364,25,94,0.266,38,79,0.481,0.436,30,33,0.909,6,44,50,37,22,1,21,35,181,Chicago Bulls,1015696,200000
72,DeMarre Carroll,carrode01,none,SF,30,TOR,72,72,1882,220,550,0.4,109,320,0.341,111,230,0.483,0.499,89,117,0.761,63,212,275,74,81,27,54,143,638,Toronto Raptors,14200000,NA
73,Vince Carter,cartevi01,none,SF,40,MEM,73,15,1799,193,490,0.394,112,296,0.378,81,194,0.418,0.508,88,115,0.765,36,191,227,133,60,36,50,163,586,Memphis Grizzlies,4264057,NA
74,Michael Carter-Williams,cartemi01,none,PG,25,CHI,45,19,846,112,306,0.366,15,64,0.234,97,242,0.401,0.391,58,77,0.753,24,129,153,113,38,23,66,102,297,Chicago Bulls,3183526,NA
75,Omri Casspi,casspom01,none,PF,28,MIN,13,0,222,19,38,0.5,2,10,0.2,17,28,0.607,0.526,5,8,0.625,6,14,20,11,13,2,10,24,45,Minnesota Timberwolves,138414,NA
76,Willie Cauley-Stein,caulewi01,none,C,23,SAC,75,21,1421,255,481,0.53,0,2,0,255,479,0.532,0.53,101,151,0.669,85,254,339,80,53,44,69,147,611,Sacramento Kings,3551160,3704160
78,Wilson Chandler,chandwi01,none,SF,29,DEN,71,33,2197,433,939,0.461,110,326,0.337,323,613,0.527,0.52,141,194,0.727,103,357,460,141,51,30,114,172,1117,Denver Nuggets,11200000,12016854
79,Marquese Chriss,chrisma01,none,PF,19,PHO,82,75,1743,284,632,0.449,72,224,0.321,212,408,0.52,0.506,113,181,0.624,96,252,348,60,67,70,108,263,753,Phoenix Suns,2941440,3073800
81,Semaj Christon,chrisse01,none,PG,24,OKC,64,1,973,77,223,0.345,12,63,0.19,65,160,0.406,0.372,17,31,0.548,19,68,87,130,28,7,43,79,183,Oklahoma City Thunder,543471,NA
82,Ian Clark,clarkia01,none,SG,25,GSW,77,0,1137,211,433,0.487,61,163,0.374,150,270,0.556,0.558,44,58,0.759,22,99,121,90,39,8,55,77,527,Golden State Warriors,1015696,NA
83,Jordan Clarkson,clarkjo01,none,SG,24,LAL,82,19,2397,477,1071,0.445,117,356,0.329,360,715,0.503,0.5,134,168,0.798,49,197,246,213,88,8,164,150,1205,Los Angeles Lakers,12500000,NA
84,Norris Cole,coleno01,none,PG,28,OKC,13,0,125,16,52,0.308,3,13,0.231,13,39,0.333,0.337,8,10,0.8,0,11,11,14,8,0,7,18,43,Oklahoma City Thunder,247991,NA
85,Darren Collison,collida01,none,PG,29,SAC,68,64,2063,340,714,0.476,73,175,0.417,267,539,0.495,0.527,147,171,0.86,23,129,152,312,67,9,114,119,900,Sacramento Kings,5229454,NA
86,Nick Collison,collini01,none,PF,36,OKC,20,0,128,14,23,0.609,0,1,0,14,22,0.636,0.609,5,8,0.625,9,22,31,12,2,2,4,17,33,Oklahoma City Thunder,3750000,2328652
87,Mike Conley,conlemi01,none,PG,29,MEM,69,68,2292,464,1009,0.46,171,419,0.408,293,590,0.497,0.545,316,368,0.859,31,210,241,433,92,19,156,126,1415,Memphis Grizzlies,26540100,28530608
88,Pat Connaughton,connapa01,none,SG,24,POR,39,1,316,37,72,0.514,17,33,0.515,20,39,0.513,0.632,7,9,0.778,10,42,52,28,6,2,17,23,98,Portland Trail Blazers,874636,1471382
90,DeMarcus Cousins,couside01,none,C,26,NOP,17,17,574,142,314,0.452,36,96,0.375,106,218,0.486,0.51,94,121,0.777,37,174,211,66,25,19,62,75,414,New Orleans Pelicans,16957900,18063850
91,Robert Covington,covinro01,none,SF,26,PHI,67,67,2119,292,732,0.399,137,412,0.333,155,320,0.484,0.492,143,174,0.822,92,344,436,102,127,69,131,203,864,Philadelphia 76ers,1015696,16698103
92,Allen Crabbe,crabbal01,none,SG,24,POR,79,7,2254,303,647,0.468,134,302,0.444,169,345,0.49,0.572,105,124,0.847,19,207,226,94,54,20,62,171,845,Portland Trail Blazers,18500000,NA
93,Jamal Crawford,crawfja01,none,SG,36,LAC,82,1,2157,359,870,0.413,116,322,0.36,243,548,0.443,0.479,174,203,0.857,17,112,129,214,61,14,134,115,1008,Los Angeles Clippers,13253012,NA
94,Jordan Crawford,crawfjo02,none,SG,28,NOP,19,0,442,105,218,0.482,37,95,0.389,68,123,0.553,0.567,20,26,0.769,4,30,34,57,11,2,25,30,267,New Orleans Pelicans,234915,308190
95,Jae Crowder,crowdja01,none,SF,26,BOS,72,72,2335,333,720,0.463,157,394,0.398,176,326,0.54,0.572,176,217,0.811,48,367,415,155,73,23,80,161,999,Boston Celtics,6286408,NA
96,Dante Cunningham,cunnida01,none,PF,29,NOP,66,35,1649,174,359,0.485,71,181,0.392,103,178,0.579,0.584,16,27,0.593,56,221,277,37,39,28,28,100,435,New Orleans Pelicans,2978250,NA
97,Seth Curry,curryse01,none,PG,26,DAL,70,42,2029,338,703,0.481,137,322,0.425,201,381,0.528,0.578,85,100,0.85,25,154,179,189,79,7,92,126,898,Dallas Mavericks,2898000,3028410
98,Stephen Curry,curryst01,none,PG,28,GSW,79,79,2638,675,1443,0.468,324,789,0.411,351,654,0.537,0.58,325,362,0.898,61,292,353,524,142,17,239,183,1999,Golden State Warriors,12112359,34682550
99,Troy Daniels,danietr01,none,SG,25,MEM,67,3,1183,185,495,0.374,138,355,0.389,47,140,0.336,0.513,43,54,0.796,22,78,100,46,20,4,45,90,551,Memphis Grizzlies,3332940,NA
100,Anthony Davis,davisan02,none,C,23,NOP,75,75,2708,770,1526,0.505,40,134,0.299,730,1392,0.524,0.518,519,647,0.802,172,712,884,157,94,167,181,168,2099,New Orleans Pelicans,22116750,23775506
104,Sam Dekker,dekkesa01,none,PF,22,HOU,77,2,1419,203,429,0.473,60,187,0.321,143,242,0.591,0.543,38,68,0.559,94,190,284,76,38,21,41,83,504,Houston Rockets,1720560,NA
105,Malcolm Delaney,delanma01,none,PG,27,ATL,73,2,1248,145,388,0.374,26,110,0.236,119,278,0.428,0.407,75,93,0.806,10,113,123,193,39,1,95,112,391,Atlanta Hawks,2500000,2500000
106,Matthew Dellavedova,dellama01,none,PG,26,MIL,76,54,1986,208,534,0.39,79,215,0.367,129,319,0.404,0.463,82,96,0.854,24,123,147,357,53,0,133,153,577,Milwaukee Bucks,9607500,9607500
