
Iterations = 1:4996
Thinning interval = 5 
Number of chains = 3 
Sample size per chain = 1000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

              Mean        SD  Naive SE Time-series SE
a[133]   2.589e+06  2.589e+06  2.589e+06  2.589e+06  2.589e+06
a[134]   4.474e+06  4.474e+06  4.474e+06  4.474e+06  4.474e+06
a[135]   3.123e+06  3.124e+06  3.124e+06  3.124e+06  3.124e+06
a[136]   5.196e+06  5.196e+06  5.196e+06  5.196e+06  5.196e+06
a[137]   7.261e+06  7.261e+06  7.261e+06  7.261e+06  7.261e+06
a[138]   1.075e+07  1.075e+07  1.075e+07  1.075e+07  1.075e+07
a[139]   4.396e+06  4.396e+06  4.396e+06  4.396e+06  4.396e+06
a[140]   8.590e+05  8.591e+05  8.591e+05  8.592e+05  8.592e+05
a[141]   7.403e+06  7.403e+06  7.403e+06  7.403e+06  7.403e+06
a[142]   9.197e+06  9.197e+06  9.197e+06  9.197e+06  9.198e+06
a[143]   5.449e+06  5.449e+06  5.449e+06  5.449e+06  5.449e+06
a[144]   2.344e+06  2.344e+06  2.344e+06  2.344e+06  2.344e+06
a[145]   4.980e+06  4.980e+06  4.980e+06  4.980e+06  4.980e+06
a[146]   3.001e+06  3.001e+06  3.001e+06  3.001e+06  3.002e+06
a[147]   7.600e+05  7.601e+05  7.601e+05  7.602e+05  7.603e+05
a[148]   3.837e+06  3.837e+06  3.837e+06  3.837e+06  3.837e+06
a[149]   6.807e+06  6.807e+06  6.807e+06  6.807e+06  6.807e+06
a[150]   7.128e+06  7.128e+06  7.128e+06  7.128e+06  7.129e+06
a[151]   9.194e+06  9.195e+06  9.195e+06  9.195e+06  9.195e+06
a[152]   1.311e+06  1.311e+06  1.311e+06  1.311e+06  1.311e+06
a[153]   2.981e+06  2.981e+06  2.981e+06  2.981e+06  2.982e+06
a[154]   4.470e+06  4.470e+06  4.470e+06  4.470e+06  4.470e+06
a[155]   7.404e+06  7.404e+06  7.404e+06  7.404e+06  7.404e+06
a[156]   1.656e+06  1.656e+06  1.656e+06  1.656e+06  1.657e+06
a[157]   2.635e+06  2.635e+06  2.635e+06  2.635e+06  2.635e+06
a[158]   3.309e+06  3.309e+06  3.309e+06  3.309e+06  3.310e+06
a[159]   4.569e+06  4.569e+06  4.569e+06  4.569e+06  4.570e+06
a[160]   4.598e+06  4.598e+06  4.598e+06  4.598e+06  4.598e+06
a[161]   4.565e+06  4.565e+06  4.565e+06  4.565e+06  4.565e+06
a[162]   5.299e+06  5.299e+06  5.299e+06  5.300e+06  5.300e+06
a[163]   8.401e+06  8.401e+06  8.401e+06  8.401e+06  8.401e+06
a[164]   1.565e+07  1.565e+07  1.565e+07  1.565e+07  1.565e+07
a[165]   5.133e+06  5.133e+06  5.133e+06  5.133e+06  5.133e+06
a[166]   5.131e+06  5.131e+06  5.131e+06  5.131e+06  5.131e+06
a[167]   3.473e+06  3.474e+06  3.474e+06  3.474e+06  3.474e+06
a[168]   5.670e+06  5.670e+06  5.670e+06  5.670e+06  5.670e+06
a[169]   4.384e+06  4.384e+06  4.385e+06  4.385e+06  4.385e+06
a[170]   6.580e+06  6.580e+06  6.580e+06  6.581e+06  6.581e+06
a[171]   4.704e+06  4.704e+06  4.704e+06  4.704e+06  4.704e+06
a[172]   5.391e+06  5.392e+06  5.392e+06  5.392e+06  5.392e+06
a[173]   2.298e+06  2.298e+06  2.298e+06  2.298e+06  2.299e+06
a[174]   2.116e+06  2.116e+06  2.117e+06  2.117e+06  2.117e+06
a[175]   4.409e+06  4.409e+06  4.409e+06  4.409e+06  4.409e+06
a[176]   6.708e+06  6.708e+06  6.708e+06  6.708e+06  6.708e+06
a[177]   1.430e+06  1.430e+06  1.430e+06  1.430e+06  1.430e+06
a[178]   3.422e+06  3.422e+06  3.422e+06  3.422e+06  3.422e+06
a[179]   6.265e+06  6.265e+06  6.265e+06  6.265e+06  6.265e+06
a[180]   6.527e+06  6.527e+06  6.527e+06  6.527e+06  6.527e+06
a[181]   1.635e+07  1.635e+07  1.635e+07  1.635e+07  1.635e+07
a[182]   4.474e+06  4.474e+06  4.474e+06  4.474e+06  4.475e+06
a[183]   6.128e+06  6.129e+06  6.129e+06  6.129e+06  6.129e+06
a[184]   3.768e+06  3.769e+06  3.769e+06  3.769e+06  3.769e+06
a[185]   3.164e+06  3.164e+06  3.164e+06  3.164e+06  3.164e+06
a[186]   3.149e+06  3.149e+06  3.149e+06  3.149e+06  3.149e+06
a[187]   6.101e+06  6.101e+06  6.101e+06  6.101e+06  6.101e+06
a[188]   2.796e+06  2.796e+06  2.796e+06  2.796e+06  2.797e+06
a[189]   8.545e+06  8.545e+06  8.545e+06  8.546e+06  8.546e+06
a[190]   1.344e+07  1.344e+07  1.344e+07  1.344e+07  1.344e+07
a[191]   7.145e+06  7.145e+06  7.145e+06  7.145e+06  7.145e+06
a[192]   7.384e+06  7.384e+06  7.384e+06  7.384e+06  7.385e+06
a[193]   2.020e+06  2.020e+06  2.020e+06  2.020e+06  2.020e+06
a[194]   3.845e+06  3.845e+06  3.845e+06  3.845e+06  3.845e+06
a[195]   2.891e+06  2.891e+06  2.891e+06  2.891e+06  2.892e+06
a[196]   4.727e+06  4.727e+06  4.727e+06  4.728e+06  4.728e+06
a[197]   2.544e+06  2.544e+06  2.544e+06  2.544e+06  2.544e+06
a[198]   7.185e+06  7.185e+06  7.185e+06  7.185e+06  7.185e+06
a[199]   7.773e+06  7.773e+06  7.773e+06  7.773e+06  7.773e+06
a[200]   5.548e+06  5.548e+06  5.549e+06  5.549e+06  5.549e+06
 [ reached getOption("max.print") -- omitted 930 rows ]

