
Iterations = 1:4996
Thinning interval = 5 
Number of chains = 3 
Sample size per chain = 1000 

1. Empirical mean and standard deviation for each variable,
   plus standard error of the mean:

              Mean        SD  Naive SE Time-series SE
a[95]    2.463e+06 9.973e+01 1.821e+00      1.945e+00
a[96]    5.129e+06 1.012e+02 1.849e+00      1.816e+00
a[97]    3.606e+06 7.707e+01 1.407e+00      1.382e+00
a[98]    6.684e+06 9.302e+01 1.698e+00      1.667e+00
a[99]    6.302e+06 9.733e+01 1.777e+00      1.812e+00
a[100]   4.314e+06 9.477e+01 1.730e+00      1.745e+00
a[101]   5.517e+06 1.001e+02 1.827e+00      1.945e+00
a[102]   5.478e+06 8.296e+01 1.515e+00      1.477e+00
a[103]   1.107e+07 7.068e+01 1.290e+00      1.291e+00
a[104]   4.628e+06 1.024e+02 1.870e+00      2.072e+00
a[105]   3.354e+06 8.563e+01 1.563e+00      1.647e+00
a[106]   8.653e+06 1.045e+02 1.908e+00      1.915e+00
a[107]   9.415e+06 9.463e+01 1.728e+00      1.799e+00
a[108]   2.788e+06 8.986e+01 1.641e+00      1.634e+00
a[109]   5.549e+06 1.021e+02 1.864e+00      1.865e+00
a[110]   5.720e+06 1.022e+02 1.866e+00      1.807e+00
a[111]   5.115e+06 1.013e+02 1.850e+00      1.877e+00
a[112]   7.478e+06 8.613e+01 1.572e+00      1.556e+00
a[113]   6.435e+06 8.850e+01 1.616e+00      1.658e+00
a[114]   3.571e+06 8.840e+01 1.614e+00      1.584e+00
a[115]   6.921e+06 9.848e+01 1.798e+00      1.833e+00
a[116]   6.703e+05 4.467e+01 8.156e-01      7.997e-01
a[117]   3.893e+06 8.829e+01 1.612e+00      1.636e+00
a[118]   3.950e+06 9.995e+01 1.825e+00      1.989e+00
a[119]   4.474e+06 1.041e+02 1.901e+00      1.862e+00
a[120]   4.860e+06 9.111e+01 1.663e+00      1.708e+00
a[121]   3.019e+06 9.057e+01 1.654e+00      1.691e+00
a[122]   2.897e+06 8.259e+01 1.508e+00      1.540e+00
a[123]   9.674e+06 6.442e+01 1.176e+00      1.177e+00
a[124]   4.133e+06 8.216e+01 1.500e+00      1.499e+00
a[125]   8.601e+06 8.398e+01 1.533e+00      1.533e+00
a[126]   5.514e+06 1.014e+02 1.852e+00      1.940e+00
a[127]   5.495e+06 9.438e+01 1.723e+00      1.672e+00
a[128]   5.222e+06 1.019e+02 1.861e+00      1.910e+00
a[129]   5.546e+06 1.026e+02 1.874e+00      1.873e+00
a[130]   1.102e+06 5.641e+01 1.030e+00      1.012e+00
a[131]   3.815e+06 8.306e+01 1.517e+00      1.544e+00
a[132]   1.619e+06 7.766e+01 1.418e+00      1.418e+00
a[133]   2.589e+06 1.018e+02 1.858e+00      1.858e+00
a[134]   4.474e+06 1.021e+02 1.865e+00      1.906e+00
a[135]   3.124e+06 8.755e+01 1.598e+00      1.598e+00
a[136]   5.196e+06 1.008e+02 1.841e+00      1.769e+00
a[137]   7.261e+06 6.809e+01 1.243e+00      1.179e+00
a[138]   1.075e+07 8.129e+01 1.484e+00      1.515e+00
a[139]   4.396e+06 7.654e+01 1.398e+00      1.420e+00
a[140]   8.591e+05 5.717e+01 1.044e+00      1.044e+00
a[141]   7.403e+06 1.000e+02 1.826e+00      1.913e+00
a[142]   9.197e+06 1.046e+02 1.910e+00      1.950e+00
a[143]   5.449e+06 1.005e+02 1.835e+00      1.657e+00
a[144]   2.344e+06 9.771e+01 1.784e+00      1.871e+00
a[145]   4.980e+06 1.009e+02 1.842e+00      1.877e+00
a[146]   3.001e+06 1.020e+02 1.862e+00      1.904e+00
a[147]   7.601e+05 6.390e+01 1.167e+00      1.167e+00
a[148]   3.837e+06 8.365e+01 1.527e+00      1.528e+00
a[149]   6.807e+06 7.758e+01 1.416e+00      1.462e+00
a[150]   7.128e+06 1.034e+02 1.889e+00      1.873e+00
a[151]   9.195e+06 9.671e+01 1.766e+00      1.765e+00
a[152]   1.311e+06 5.713e+01 1.043e+00      1.100e+00
a[153]   2.981e+06 1.017e+02 1.857e+00      1.858e+00
a[154]   4.470e+06 1.014e+02 1.852e+00      1.787e+00
a[155]   7.404e+06 1.001e+02 1.827e+00      1.793e+00
a[156]   1.656e+06 7.829e+01 1.429e+00      1.430e+00
a[157]   2.635e+06 6.938e+01 1.267e+00      1.190e+00
a[158]   3.309e+06 9.503e+01 1.735e+00      1.694e+00
a[159]   4.569e+06 1.012e+02 1.847e+00      1.757e+00
a[160]   4.598e+06 1.018e+02 1.859e+00      1.804e+00
a[161]   4.565e+06 9.293e+01 1.697e+00      1.697e+00
a[162]   5.299e+06 1.007e+02 1.839e+00      1.872e+00
a[163]   8.401e+06 1.003e+02 1.832e+00      1.832e+00
a[164]   1.565e+07 8.339e+01 1.523e+00      1.538e+00
a[165]   5.133e+06 9.911e+01 1.810e+00      1.810e+00
a[166]   5.131e+06 1.007e+02 1.838e+00      2.003e+00
a[167]   3.474e+06 1.022e+02 1.866e+00      1.800e+00
a[168]   5.670e+06 1.001e+02 1.827e+00      1.858e+00
a[169]   4.385e+06 9.060e+01 1.654e+00      1.748e+00
a[170]   6.580e+06 1.019e+02 1.860e+00      1.860e+00
a[171]   4.704e+06 9.819e+01 1.793e+00      1.879e+00
a[172]   5.392e+06 9.189e+01 1.678e+00      1.529e+00
a[173]   2.298e+06 9.776e+01 1.785e+00      1.784e+00
a[174]   2.117e+06 9.195e+01 1.679e+00      1.641e+00
a[175]   4.409e+06 1.020e+02 1.863e+00      1.891e+00
a[176]   6.708e+06 8.942e+01 1.633e+00      1.632e+00
a[177]   1.430e+06 7.141e+01 1.304e+00      1.304e+00
a[178]   3.422e+06 9.976e+01 1.821e+00      1.790e+00
a[179]   6.265e+06 8.438e+01 1.541e+00      1.568e+00
a[180]   6.527e+06 8.088e+01 1.477e+00      1.445e+00
a[181]   1.635e+07 6.964e+01 1.272e+00      1.271e+00
a[182]   4.474e+06 1.012e+02 1.847e+00      2.004e+00
a[183]   6.129e+06 9.684e+01 1.768e+00      1.768e+00
a[184]   3.769e+06 8.121e+01 1.483e+00      1.477e+00
a[185]   3.164e+06 6.941e+01 1.267e+00      1.194e+00
a[186]   3.149e+06 8.955e+01 1.635e+00      1.662e+00
a[187]   6.101e+06 7.261e+01 1.326e+00      1.296e+00
a[188]   2.796e+06 8.107e+01 1.480e+00      1.428e+00
a[189]   8.545e+06 9.795e+01 1.788e+00      1.910e+00
a[190]   1.344e+07 8.073e+01 1.474e+00      1.473e+00
a[191]   7.145e+06 1.026e+02 1.874e+00      2.018e+00
a[192]   7.384e+06 7.431e+01 1.357e+00      1.357e+00
a[193]   2.020e+06 9.748e+01 1.780e+00      1.780e+00
a[194]   3.845e+06 9.841e+01 1.797e+00      1.751e+00
a[195]   2.891e+06 9.763e+01 1.783e+00      1.813e+00
a[196]   4.727e+06 9.269e+01 1.692e+00      1.734e+00
a[197]   2.544e+06 8.404e+01 1.534e+00      1.638e+00
a[198]   7.185e+06 1.009e+02 1.843e+00      1.893e+00
a[199]   7.773e+06 1.013e+02 1.850e+00      1.856e+00
a[200]   5.549e+06 1.003e+02 1.831e+00      1.830e+00
a[201]   3.044e+06 7.471e+01 1.364e+00      1.364e+00
a[202]   6.624e+06 1.018e+02 1.859e+00      1.898e+00
a[203]   8.406e+06 8.102e+01 1.479e+00      1.562e+00
a[204]   6.225e+06 9.890e+01 1.806e+00      1.789e+00
a[205]   5.196e+06 5.273e+01 9.627e-01      9.628e-01
a[206]   2.912e+06 9.644e+01 1.761e+00      1.757e+00
a[207]   3.026e+06 1.001e+02 1.828e+00      1.955e+00
a[208]   3.971e+06 1.006e+02 1.837e+00      1.802e+00
a[209]   1.940e+06 5.082e+01 9.278e-01      9.280e-01
a[210]   3.517e+06 9.996e+01 1.825e+00      1.822e+00
a[211]   3.701e+06 1.001e+02 1.828e+00      1.828e+00
a[212]   5.117e+06 1.020e+02 1.863e+00      1.862e+00
a[213]   7.571e+06 9.136e+01 1.668e+00      1.710e+00
a[214]   3.811e+06 6.095e+01 1.113e+00      1.112e+00
a[215]   2.405e+06 1.010e+02 1.845e+00      1.879e+00
a[216]   3.085e+06 5.644e+01 1.031e+00      1.012e+00
a[217]   6.663e+06 9.909e+01 1.809e+00      1.848e+00
a[218]   6.810e+06 9.422e+01 1.720e+00      1.744e+00
